,ranker,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,player_link,team_id_link
430,407,Chris Silva,PF,23,MIA,25,0,237,5.2,7.7,.667,0.0,0.3,.000,5.2,7.4,.694,4.3,6.1,.700,6.7,6.8,13.5,2.3,0.9,2.3,4.3,9.4,14.6,/players/s/silvach01.html,/teams/MIA/2020.html
431,408,Ben Simmons,PG,23,PHI,33,33,1161,6.0,10.7,.561,0.1,0.2,.400,6.0,10.6,.563,2.6,4.5,.579,1.7,5.5,7.2,8.9,2.3,0.7,3.7,3.5,14.7,/players/s/simmobe01.html,/teams/PHI/2020.html
432,409,Anfernee Simons,SG,20,POR,33,1,722,6.0,14.3,.420,2.0,6.0,.339,3.9,8.2,.479,1.8,2.4,.771,0.7,3.4,4.1,2.2,0.6,0.2,1.4,3.5,15.9,/players/s/simonan01.html,/teams/POR/2020.html
433,410,Alen Smailagić,F,19,GSW,2,0,24,6.0,9.0,.667,0.0,3.0,.000,6.0,6.0,1.000,1.5,1.5,1.000,1.5,7.5,9.0,1.5,0.0,1.5,0.0,4.5,13.5,/players/s/smailal01.html,/teams/GSW/2020.html
434,411,Marcus Smart,SG,25,BOS,21,15,659,4.6,12.1,.380,2.3,7.2,.328,2.2,4.9,.456,1.7,2.0,.838,1.1,2.7,3.8,5.1,1.6,0.5,1.4,2.6,13.2,/players/s/smartma01.html,/teams/BOS/2020.html
435,412,Dennis Smith,PG,22,NYK,21,1,339,4.4,13.4,.325,1.3,4.4,.293,3.1,9.0,.341,1.6,3.2,.500,1.4,3.3,4.7,6.1,1.1,0.7,3.2,4.7,11.6,/players/s/smithde03.html,/teams/NYK/2020.html
436,413,Ish Smith,PG,31,WAS,31,12,783,5.8,13.0,.449,1.4,3.6,.380,4.5,9.4,.475,1.1,1.7,.667,0.7,3.3,4.0,5.9,1.1,0.6,1.8,2.2,14.2,/players/s/smithis01.html,/teams/WAS/2020.html
437,414,Tony Snell,SF,28,DET,29,27,758,3.9,8.7,.451,2.7,6.4,.425,1.2,2.4,.520,0.6,0.6,1.000,0.3,2.2,2.5,1.9,0.7,0.2,0.7,2.3,11.2,/players/s/snellto01.html,/teams/DET/2020.html
438,415,Omari Spellman,PF,22,GSW,31,0,515,5.2,12.1,.428,1.3,3.8,.352,3.8,8.3,.462,2.7,3.4,.813,4.3,6.6,10.8,1.8,1.2,1.2,2.5,2.1,14.4,/players/s/spellom01.html,/teams/GSW/2020.html
439,416,Max Strus,SG,23,CHI,2,0,6,12.0,18.0,.667,0.0,6.0,.000,12.0,12.0,1.000,6.0,6.0,1.000,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,30.0,/players/s/strusma01.html,/teams/CHI/2020.html
