,ranker,player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,player_link,team_id_link
11,12,Kostas Antetokounmpo,PF,22,LAL,2,3,3.9,,,,0.0,36.1,18.5,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.069,,-9.4,-1.3,-10.7,0.0,/players/a/antetko01.html,/teams/LAL/2020.html
12,13,Thanasis Antetokounmpo,SF,27,MIL,8,40,20.0,.594,.067,.533,13.1,2.4,7.4,21.8,1.1,2.2,13.9,22.2,,0.1,0.1,0.2,.203,,1.5,-0.9,0.6,0.0,/players/a/antetth01.html,/teams/MIL/2020.html
13,14,Carmelo Anthony,PF,35,POR,18,561,13.1,.509,.270,.208,3.9,16.7,10.4,5.6,1.8,2.1,11.6,24.0,,-0.2,0.5,0.3,.029,,-2.8,-1.0,-3.8,-0.3,/players/a/anthoca01.html,/teams/POR/2020.html
14,15,OG Anunoby,SF,22,TOR,32,947,12.8,.577,.430,.169,3.7,15.8,10.0,7.8,1.8,2.6,12.4,15.7,,0.7,1.6,2.2,.112,,-0.6,2.3,1.7,0.9,/players/a/anunoog01.html,/teams/TOR/2020.html
15,16,Ryan Arcidiacono,PG,25,CHI,33,497,8.7,.534,.600,.209,2.9,9.0,5.9,14.2,1.3,0.4,12.5,12.2,,0.4,0.5,0.9,.086,,-2.0,-0.5,-2.5,-0.1,/players/a/arcidry01.html,/teams/CHI/2020.html
16,17,Trevor Ariza,SF,34,SAC,24,568,9.1,.521,.736,.124,3.1,18.9,10.8,7.9,2.1,1.0,14.1,11.5,,0.1,0.6,0.7,.058,,-1.7,1.0,-0.7,0.2,/players/a/arizatr01.html,/teams/SAC/2020.html
17,18,D.J. Augustin,PG,32,ORL,32,824,14.1,.535,.414,.319,1.6,8.3,4.8,26.8,1.2,0.1,11.8,17.9,,1.2,0.6,1.7,.102,,0.2,-2.3,-2.2,0.0,/players/a/augusdj01.html,/teams/ORL/2020.html
18,19,Deandre Ayton,C,21,PHO,2,58,25.3,.538,.000,.030,18.3,25.6,21.8,9.5,0.8,7.5,5.6,25.7,,0.1,0.1,0.2,.143,,-0.7,1.4,0.7,0.0,/players/a/aytonde01.html,/teams/PHO/2020.html
19,20,Dwayne Bacon,SG,24,CHO,25,409,5.0,.378,.278,.216,2.5,12.9,7.4,10.7,2.0,0.4,10.6,21.0,,-1.0,0.2,-0.7,-0.087,,-7.0,-2.0,-9.1,-0.7,/players/b/bacondw01.html,/teams/CHO/2020.html
21,21,Marvin Bagley,PF,20,SAC,9,212,16.8,.513,.128,.229,9.4,24.4,16.7,4.9,0.9,3.6,9.8,27.5,,0.0,0.2,0.3,.059,,-4.3,-2.1,-6.4,-0.2,/players/b/baglema01.html,/teams/SAC/2020.html
22,22,Lonzo Ball,PG,22,NOP,26,737,12.0,.491,.577,.109,4.2,15.2,9.5,25.8,2.0,0.7,19.1,19.9,,-0.2,0.5,0.4,.023,,-0.7,-0.2,-0.9,0.2,/players/b/balllo01.html,/teams/NOP/2020.html
23,23,Mo Bamba,C,21,ORL,28,436,15.0,.527,.369,.101,9.9,25.7,17.5,6.1,1.0,7.7,15.3,18.3,,0.0,0.8,0.8,.087,,-3.5,3.0,-0.5,0.2,/players/b/bambamo01.html,/teams/ORL/2020.html
24,24,J.J. Barea,PG,35,DAL,8,111,21.7,.587,.397,.063,1.9,9.1,5.6,33.4,0.9,0.8,9.8,27.5,,0.3,0.1,0.4,.180,,3.9,-3.4,0.5,0.1,/players/b/bareajo01.html,/teams/DAL/2020.html
25,25,Harrison Barnes,PF,27,SAC,33,1162,13.8,.555,.329,.378,3.4,13.9,8.5,9.2,1.0,0.4,9.1,19.0,,1.5,0.6,2.1,.087,,-0.3,-1.2,-1.5,0.1,/players/b/barneha02.html,/teams/SAC/2020.html
26,26,RJ Barrett,SG,19,NYK,32,1013,10.2,.456,.264,.316,3.5,14.3,8.7,14.0,1.6,1.2,12.5,23.1,,-1.1,0.5,-0.6,-0.028,,-3.3,-0.8,-4.1,-0.5,/players/b/barrerj01.html,/teams/NYK/2020.html
27,27,Will Barton,SF,29,DEN,30,988,16.4,.549,.349,.185,5.1,17.6,11.3,16.1,1.7,1.1,9.9,19.5,,1.4,1.5,2.9,.142,,1.1,1.3,2.4,1.1,/players/b/bartowi01.html,/teams/DEN/2020.html
28,28,Keita Bates-Diop,SF,24,MIN,19,334,12.5,.581,.510,.230,2.7,12.0,7.3,3.6,1.1,1.7,5.2,14.4,,0.4,0.2,0.6,.089,,-1.3,-1.6,-2.9,-0.1,/players/b/bateske01.html,/teams/MIN/2020.html
29,29,Nicolas Batum,SF,31,CHO,16,357,9.6,.503,.667,.111,5.2,15.0,9.9,18.5,1.8,2.0,25.1,9.2,,0.2,0.2,0.4,.055,,-2.3,1.1,-1.1,0.1,/players/b/batumni01.html,/teams/CHO/2020.html
30,30,Aron Baynes,C,33,PHO,23,549,17.0,.619,.413,.197,6.6,19.5,12.8,14.2,0.4,2.4,10.7,20.8,,1.1,0.4,1.5,.132,,1.9,-0.5,1.3,0.5,/players/b/baynear01.html,/teams/PHO/2020.html
31,31,Kent Bazemore,SF,30,POR,33,812,8.4,.495,.504,.211,1.3,14.7,8.1,7.8,1.9,2.6,15.4,16.5,,-0.5,0.7,0.2,.013,,-2.7,0.7,-2.0,0.0,/players/b/bazemke01.html,/teams/POR/2020.html
32,32,Darius Bazley,PF,19,OKC,32,554,6.6,.461,.550,.155,2.3,21.3,12.0,4.2,1.1,3.1,17.4,13.3,,-0.7,0.7,0.0,.000,,-5.4,1.2,-4.3,-0.3,/players/b/bazleda01.html,/teams/OKC/2020.html
33,33,Bradley Beal,SG,26,WAS,30,1099,20.8,.555,.372,.348,3.2,11.6,7.2,28.9,1.4,0.8,11.8,32.0,,2.2,-0.1,2.0,.089,,4.0,-3.0,1.0,0.8,/players/b/bealbr01.html,/teams/WAS/2020.html
34,34,Malik Beasley,SG,23,DEN,25,397,9.3,.506,.512,.055,1.6,8.6,5.1,9.2,1.4,0.9,11.1,20.6,,-0.2,0.4,0.3,.031,,-2.4,-1.7,-4.2,-0.2,/players/b/beaslma01.html,/teams/DEN/2020.html
35,35,Marco Belinelli,SG,33,SAS,29,468,8.1,.474,.515,.184,0.2,10.5,5.4,9.9,0.7,0.0,5.9,17.1,,-0.1,0.1,0.0,.004,,-2.5,-3.3,-5.7,-0.4,/players/b/belinma01.html,/teams/SAS/2020.html
36,36,Jordan Bell,C,25,MIN,18,181,15.2,.571,.111,.556,12.4,22.8,17.5,9.8,0.5,4.0,21.1,16.2,,0.2,0.2,0.3,.084,,-3.4,0.8,-2.5,0.0,/players/b/belljo01.html,/teams/MIN/2020.html
37,37,DeAndre' Bembry,SG,25,ATL,32,720,10.7,.507,.261,.217,4.6,15.0,9.7,13.8,2.6,1.7,18.6,14.0,,-0.2,0.5,0.4,.023,,-3.0,1.0,-2.0,0.0,/players/b/bembrde01.html,/teams/ATL/2020.html
38,38,Dragan Bender,SF,22,MIL,3,29,19.6,.889,.500,.125,0.0,6.5,3.4,14.6,0.0,6.0,10.6,13.4,,0.1,0.0,0.2,.275,,3.5,0.0,3.5,0.0,/players/b/bendedr01.html,/teams/MIL/2020.html
39,39,Dāvis Bertāns,PF,27,WAS,28,839,16.4,.640,.766,.149,3.1,15.4,8.9,7.9,1.0,1.9,6.1,17.6,,2.0,0.0,2.0,.115,,4.0,-2.4,1.7,0.8,/players/b/bertada01.html,/teams/WAS/2020.html
40,40,Patrick Beverley,PG,31,LAC,29,839,11.8,.518,.587,.127,4.9,16.4,10.8,15.0,2.2,2.0,14.1,12.8,,0.7,1.4,2.0,.116,,0.4,3.4,3.7,1.2,/players/b/beverpa01.html,/teams/LAC/2020.html
42,41,Khem Birch,C,27,ORL,19,409,9.7,.481,.016,.531,9.0,16.4,12.6,6.8,1.3,3.1,14.1,9.7,,0.2,0.5,0.7,.079,,-3.6,2.6,-0.9,0.1,/players/b/birchkh01.html,/teams/ORL/2020.html
43,42,Goga Bitadze,C,20,IND,25,256,12.0,.525,.242,.318,7.7,18.4,13.1,7.8,0.2,7.7,14.7,15.0,,0.1,0.4,0.5,.100,,-3.6,3.4,-0.1,0.1,/players/b/bitadgo01.html,/teams/IND/2020.html
44,43,Bismack Biyombo,C,27,CHO,33,622,18.7,.592,.000,.572,12.8,20.4,16.4,7.8,0.5,3.9,8.5,17.2,,1.5,0.4,2.0,.151,,-0.7,-0.1,-0.8,0.2,/players/b/biyombi01.html,/teams/CHO/2020.html
45,44,Nemanja Bjelica,PF,31,SAC,33,875,17.0,.592,.463,.105,6.6,19.6,12.9,15.7,1.6,2.3,13.0,18.9,,1.5,0.9,2.4,.133,,1.9,1.0,2.8,1.1,/players/b/bjeline01.html,/teams/SAC/2020.html
46,45,Eric Bledsoe,PG,30,MIL,26,693,19.1,.570,.302,.260,3.2,14.5,9.1,30.2,1.5,1.5,14.9,24.0,,1.4,1.2,2.6,.182,,1.5,0.9,2.4,0.8,/players/b/bledser01.html,/teams/MIL/2020.html
47,46,Bogdan Bogdanović,SG,27,SAC,28,795,14.9,.549,.564,.169,1.3,11.1,6.0,20.7,2.0,0.7,13.2,23.8,,0.6,0.6,1.2,.070,,1.3,-1.7,-0.3,0.3,/players/b/bogdabo01.html,/teams/SAC/2020.html
48,47,Bojan Bogdanović,SF,30,UTA,31,1043,15.8,.598,.471,.297,2.0,11.8,7.2,10.6,1.0,0.3,13.9,26.2,,1.1,1.1,2.2,.100,,1.1,-1.5,-0.4,0.4,/players/b/bogdabo02.html,/teams/UTA/2020.html
49,48,Jonah Bolden,PF,24,PHI,2,5,7.7,.532,.000,2.000,0.0,0.0,0.0,0.0,9.6,0.0,34.7,24.7,,0.0,0.0,0.0,-0.206,,-9.8,4.1,-5.8,0.0,/players/b/boldejo01.html,/teams/PHI/2020.html
50,49,Jordan Bone,PG,22,DET,3,6,-16.4,.400,.200,.000,0.0,0.0,0.0,0.0,0.0,0.0,28.6,50.3,,-0.1,0.0,-0.1,-0.654,,-23.7,-11.0,-34.8,0.0,/players/b/bonejo01.html,/teams/DET/2020.html
51,50,Isaac Bonga,SF,20,WAS,26,410,9.2,.547,.243,.365,5.5,14.0,9.5,9.1,1.9,1.1,15.7,10.2,,0.3,0.1,0.4,.046,,-1.8,-0.3,-2.1,0.0,/players/b/bongais01.html,/teams/WAS/2020.html
52,51,Devin Booker,SG,23,PHO,29,1035,19.3,.617,.304,.328,2.0,10.3,6.0,29.6,0.9,0.7,16.3,28.1,,2.1,0.4,2.5,.118,,3.0,-2.2,0.8,0.7,/players/b/bookede01.html,/teams/PHO/2020.html
53,52,Chris Boucher,PF,27,TOR,30,387,21.1,.583,.350,.445,15.5,18.3,17.0,5.5,1.1,5.8,6.3,19.3,,1.2,0.7,1.9,.233,,1.6,1.4,2.9,0.5,/players/b/bouchch01.html,/teams/TOR/2020.html
54,53,Brian Bowen,SG,21,IND,3,10,1.1,.250,.250,.000,0.0,10.7,5.4,0.0,0.0,8.6,0.0,17.4,,0.0,0.0,0.0,-0.138,,-12.5,-0.1,-12.5,0.0,/players/b/bowenbr02.html,/teams/IND/2020.html
55,54,Ky Bowman,PG,22,GSW,30,684,11.1,.527,.347,.111,2.4,10.5,6.4,19.8,1.7,0.7,13.7,16.3,,0.3,0.3,0.6,.043,,-1.7,-1.6,-3.3,-0.2,/players/b/bowmaky01.html,/teams/GSW/2020.html
56,55,Avery Bradley,SG,29,LAL,19,454,6.5,.479,.347,.068,2.8,8.8,5.9,7.1,1.7,0.2,13.7,16.4,,-0.4,0.5,0.1,.014,,-3.5,-0.7,-4.2,-0.2,/players/b/bradlav01.html,/teams/LAL/2020.html
57,56,Tony Bradley,C,22,UTA,21,181,18.3,.642,.000,.286,15.5,22.7,19.3,4.5,0.5,3.7,13.7,17.6,,0.4,0.3,0.7,.193,,-0.9,0.3,-0.6,0.1,/players/b/bradlto01.html,/teams/UTA/2020.html
58,57,Jarrell Brantley,PF,23,UTA,2,9,10.2,,,,0.0,45.6,23.9,13.8,0.0,18.6,100.0,4.8,,0.0,0.0,0.0,.063,,-11.9,15.1,3.3,0.0,/players/b/brantja01.html,/teams/UTA/2020.html
59,58,Ignas Brazdeikis,SF,21,NYK,8,48,0.7,.322,.400,.200,4.2,6.8,5.4,6.1,0.0,2.0,8.4,21.0,,-0.2,0.0,-0.2,-0.159,,-8.1,-4.2,-12.4,-0.1,/players/b/brazdig01.html,/teams/NYK/2020.html
60,59,Mikal Bridges,SF,23,PHO,32,696,13.1,.600,.338,.344,4.4,15.2,9.6,8.0,2.9,1.4,12.8,12.8,,0.8,0.8,1.6,.109,,-0.8,1.8,1.1,0.5,/players/b/bridgmi01.html,/teams/PHO/2020.html
61,60,Miles Bridges,SF,21,CHO,35,1064,11.4,.530,.396,.146,4.0,15.1,9.3,9.0,0.9,2.2,12.3,18.6,,0.2,0.5,0.6,.029,,-2.1,-0.8,-2.9,-0.2,/players/b/bridgmi02.html,/teams/CHO/2020.html
63,61,Oshae Brissett,SF,21,TOR,8,54,4.8,.458,.250,.000,6.0,9.3,7.7,7.6,0.9,1.7,20.0,11.9,,0.0,0.1,0.0,.017,,-5.0,0.5,-4.4,0.0,/players/b/brissos01.html,/teams/TOR/2020.html
64,62,Ryan Broekhoff,SG,29,DAL,10,77,16.3,.669,.800,.240,1.4,17.1,9.4,7.3,1.3,1.1,6.7,16.4,,0.2,0.1,0.3,.179,,2.3,-1.6,0.7,0.1,/players/b/broekry01.html,/teams/DAL/2020.html
65,63,Malcolm Brogdon,PG,27,IND,26,816,20.2,.562,.294,.278,2.3,13.3,7.8,37.0,1.4,0.5,14.3,26.4,,1.7,1.0,2.7,.157,,3.1,-0.4,2.8,1.0,/players/b/brogdma01.html,/teams/IND/2020.html
66,64,Dillon Brooks,SG,24,MEM,34,942,11.5,.517,.386,.224,3.8,9.4,6.6,10.4,1.8,1.1,10.9,23.2,,0.1,0.4,0.5,.026,,-1.1,-2.0,-3.0,-0.2,/players/b/brookdi01.html,/teams/MEM/2020.html
67,65,Bruce Brown,SG,23,DET,32,852,11.5,.518,.235,.283,3.9,14.8,9.4,19.5,2.0,1.7,18.8,16.1,,0.2,0.7,0.9,.050,,-1.8,1.1,-0.7,0.3,/players/b/brownbr01.html,/teams/DET/2020.html
68,66,Charlie Brown,SG,22,ATL,4,16,21.5,.735,.333,1.333,13.3,6.9,10.2,0.0,0.0,5.3,0.0,12.3,,0.1,0.0,0.1,.252,,1.4,-4.3,-2.9,0.0,/players/b/brownch02.html,/teams/ATL/2020.html
69,67,Jaylen Brown,SF,23,BOS,27,906,19.6,.620,.364,.284,3.2,18.8,11.1,11.4,1.6,0.9,10.9,23.8,,2.0,1.4,3.4,.179,,2.7,0.1,2.8,1.1,/players/b/brownja02.html,/teams/BOS/2020.html
70,68,Moses Brown,C,20,POR,4,15,15.5,.457,.000,.571,13.9,46.9,30.7,0.0,3.1,0.0,10.2,27.4,,0.0,0.0,0.0,.065,,-10.6,-8.2,-18.8,-0.1,/players/b/brownmo01.html,/teams/POR/2020.html
71,69,Sterling Brown,SF,24,MIL,25,422,9.8,.504,.520,.213,3.7,19.0,11.7,8.0,1.8,0.6,14.7,15.9,,-0.1,0.8,0.7,.083,,-2.9,0.9,-2.0,0.0,/players/b/brownst02.html,/teams/MIL/2020.html
72,70,Troy Brown,SG,20,WAS,28,678,14.3,.522,.261,.209,5.3,20.0,12.3,12.8,2.6,0.5,10.7,17.1,,0.6,0.3,0.8,.060,,-0.8,-0.2,-1.0,0.2,/players/b/browntr01.html,/teams/WAS/2020.html
73,71,Jalen Brunson,PG,23,DAL,32,564,16.5,.563,.343,.192,3.0,12.0,7.6,30.2,1.2,0.2,14.4,20.4,,1.1,0.4,1.6,.136,,1.0,-1.6,-0.6,0.2,/players/b/brunsja01.html,/teams/DAL/2020.html
74,72,Thomas Bryant,C,22,WAS,18,511,19.4,.605,.190,.288,8.5,24.9,16.3,13.6,0.7,3.1,10.4,18.6,,1.2,0.1,1.4,.129,,1.2,-0.1,1.2,0.4,/players/b/bryanth01.html,/teams/WAS/2020.html
75,73,Trey Burke,PG,27,PHI,16,237,17.3,.556,.289,.156,5.8,6.9,6.4,25.0,1.4,0.4,7.7,18.9,,0.6,0.2,0.8,.171,,1.7,-1.9,-0.2,0.1,/players/b/burketr01.html,/teams/PHI/2020.html
76,74,Alec Burks,SG,28,GSW,31,901,16.6,.553,.355,.326,2.4,14.2,8.2,16.8,2.1,0.9,9.6,22.6,,1.2,0.6,1.8,.097,,0.7,-1.3,-0.6,0.3,/players/b/burksal01.html,/teams/GSW/2020.html
77,75,Deonte Burton,SG,26,OKC,17,153,4.8,.402,.480,.100,3.0,14.8,9.1,5.6,0.3,1.6,7.1,16.3,,-0.2,0.1,-0.1,-0.030,,-5.6,-1.9,-7.5,-0.2,/players/b/burtode02.html,/teams/OKC/2020.html
78,76,Jimmy Butler,SF,30,MIA,28,991,23.5,.568,.223,.677,7.1,13.7,10.5,29.3,2.8,1.7,12.3,25.3,,3.2,1.5,4.7,.227,,3.6,1.9,5.5,1.9,/players/b/butleji01.html,/teams/MIA/2020.html
79,77,Bruno Caboclo,SF,24,MEM,21,190,12.5,.447,.368,.044,9.5,15.3,12.4,7.2,2.5,5.4,9.2,16.8,,-0.1,0.2,0.2,.042,,-2.8,1.7,-1.1,0.0,/players/c/cabocbr01.html,/teams/MEM/2020.html
80,78,Kentavious Caldwell-Pope,SG,26,LAL,33,838,12.0,.597,.446,.196,2.7,6.7,4.8,9.6,1.5,0.8,10.6,14.8,,1.2,0.9,2.0,.115,,0.5,-0.6,-0.1,0.4,/players/c/caldwke01.html,/teams/LAL/2020.html
81,79,Vlatko Čančar,SF,22,DEN,3,5,24.4,.532,.000,2.000,21.6,0.0,10.9,23.6,0.0,0.0,0.0,16.2,,0.0,0.0,0.0,.315,,4.6,-2.7,2.0,0.0,/players/c/cancavl01.html,/teams/DEN/2020.html
82,80,Clint Capela,C,25,HOU,27,907,20.5,.632,.000,.264,12.3,31.8,22.1,5.3,1.2,5.0,13.5,15.4,,2.0,1.5,3.4,.182,,-1.2,2.4,1.2,0.7,/players/c/capelca01.html,/teams/HOU/2020.html
84,81,DeMarre Carroll,SF,33,SAS,13,131,5.2,.445,.464,.643,5.7,18.4,12.1,9.4,0.7,1.3,21.8,15.0,,-0.2,0.1,-0.1,-0.028,,-4.9,-0.9,-5.9,-0.1,/players/c/carrode01.html,/teams/SAS/2020.html
85,82,Jevon Carter,PG,24,PHO,22,314,9.8,.485,.568,.099,3.7,12.4,7.9,15.5,3.0,1.7,16.7,13.6,,0.0,0.3,0.3,.048,,-2.2,1.5,-0.7,0.1,/players/c/carteje01.html,/teams/PHO/2020.html
86,83,Vince Carter,SF,43,ATL,27,419,6.6,.454,.662,.099,1.3,12.5,6.7,9.3,0.9,2.0,9.2,17.2,,-0.4,0.1,-0.3,-0.031,,-3.6,-2.5,-6.1,-0.4,/players/c/cartevi01.html,/teams/ATL/2020.html
87,84,Wendell Carter,C,20,CHI,33,991,16.1,.599,.081,.434,11.6,23.2,17.2,5.8,1.2,2.8,13.8,16.0,,1.7,1.6,3.3,.159,,-1.5,1.9,0.4,0.6,/players/c/cartewe01.html,/teams/CHI/2020.html
88,85,Michael Carter-Williams,SG,28,ORL,19,310,13.4,.464,.323,.333,6.0,14.9,10.3,18.0,3.2,2.3,13.7,17.3,,0.0,0.5,0.5,.076,,-2.1,2.4,0.4,0.2,/players/c/cartemi01.html,/teams/ORL/2020.html
89,86,Alex Caruso,PG,25,LAL,31,619,10.1,.545,.447,.270,1.5,10.0,5.8,11.2,2.6,1.2,15.5,12.8,,0.3,0.9,1.2,.090,,-1.6,1.2,-0.4,0.3,/players/c/carusal01.html,/teams/LAL/2020.html
90,87,Willie Cauley-Stein,C,26,GSW,31,724,16.7,.580,.000,.205,6.8,22.3,14.3,9.5,2.5,5.5,12.1,14.5,,0.8,1.0,1.8,.119,,-2.2,3.6,1.3,0.6,/players/c/caulewi01.html,/teams/GSW/2020.html
91,88,Tyson Chandler,C,37,HOU,22,192,12.5,.717,.000,.722,11.9,20.9,16.4,4.0,1.4,3.6,22.8,6.6,,0.3,0.2,0.6,.142,,-1.9,1.6,-0.3,0.1,/players/c/chandty01.html,/teams/HOU/2020.html
92,89,Wilson Chandler,SF,32,BRK,6,120,6.4,.446,.486,.057,0.9,21.3,11.4,9.4,1.6,0.7,16.3,14.8,,-0.2,0.2,0.0,.002,,-6.0,0.8,-5.2,-0.1,/players/c/chandwi01.html,/teams/BRK/2020.html
93,90,Zylan Cheatham,SF,24,NOP,2,20,-3.5,.250,.250,.000,0.0,16.3,7.9,6.2,0.0,0.0,20.0,10.3,,-0.1,0.0,-0.1,-0.131,,-10.1,-1.8,-11.9,0.0,/players/c/cheatzy01.html,/teams/NOP/2020.html
94,91,Chris Chiozza,PG,24,WAS,10,123,9.3,.397,.471,.000,0.0,14.0,6.6,28.2,3.8,1.4,20.9,14.4,,-0.1,0.1,0.0,-0.011,,-4.0,-0.3,-4.3,-0.1,/players/c/chiozch01.html,/teams/WAS/2020.html
95,92,Marquese Chriss,PF,22,GSW,33,566,17.9,.573,.120,.480,10.5,22.9,16.5,15.7,1.6,4.8,18.5,19.5,,0.7,0.6,1.3,.108,,-1.7,2.1,0.4,0.3,/players/c/chrisma01.html,/teams/GSW/2020.html
96,93,Gary Clark,PF,25,HOU,17,208,11.7,.548,.862,.121,5.5,13.9,9.7,7.7,0.4,2.9,3.2,12.4,,0.4,0.1,0.5,.122,,0.1,-1.2,-1.1,0.0,/players/c/clarkga01.html,/teams/HOU/2020.html
97,94,Brandon Clarke,PF,23,MEM,28,602,23.4,.696,.145,.195,6.9,20.5,13.7,10.8,0.9,3.6,10.0,20.1,,1.9,0.4,2.3,.184,,2.8,0.0,2.7,0.7,/players/c/clarkbr01.html,/teams/MEM/2020.html
98,95,Jordan Clarkson,SG,27,TOT,31,711,19.0,.576,.481,.262,3.4,7.9,5.6,17.1,1.2,1.0,9.3,25.9,,1.5,0.1,1.7,.113,,3.3,-3.3,0.0,0.4,/players/c/clarkjo01.html,NO LINK
99,95,Jordan Clarkson,SG,27,CLE,29,666,19.3,.581,.488,.264,3.4,8.0,5.7,17.7,1.2,1.0,9.7,25.7,,1.5,0.1,1.6,.116,,3.6,-3.3,0.3,0.4,/players/c/clarkjo01.html,/teams/CLE/2020.html
100,95,Jordan Clarkson,G,27,UTA,2,45,14.2,.507,.400,.240,2.5,6.8,4.8,7.9,1.1,0.0,3.5,27.8,,0.0,0.0,0.1,.059,,-1.3,-4.5,-5.7,0.0,/players/c/clarkjo01.html,/teams/UTA/2020.html
101,96,Nicolas Claxton,PF,20,BRK,9,119,9.6,.514,.238,.571,7.1,11.6,9.4,12.6,0.4,3.4,18.6,11.2,,0.0,0.1,0.2,.065,,-3.7,1.4,-2.4,0.0,/players/c/claxtni01.html,/teams/BRK/2020.html
102,97,Chris Clemons,SG,22,HOU,21,198,14.8,.585,.798,.043,1.0,7.3,4.2,11.6,1.4,1.7,9.5,21.9,,0.3,0.1,0.4,.101,,1.2,-3.7,-2.5,0.0,/players/c/clemoch01.html,/teams/HOU/2020.html
103,98,John Collins,PF,22,ATL,8,255,22.2,.593,.298,.182,7.1,26.6,16.6,8.2,1.5,6.0,7.8,23.1,,0.5,0.3,0.8,.142,,0.4,0.7,1.1,0.2,/players/c/collijo01.html,/teams/ATL/2020.html
104,99,Zach Collins,PF,22,POR,3,86,9.2,.624,.368,.316,4.8,9.4,7.1,9.3,0.0,1.9,21.7,13.5,,0.1,0.0,0.1,.055,,-1.5,-1.6,-3.0,0.0,/players/c/colliza01.html,/teams/POR/2020.html
105,100,Mike Conley,PG,32,UTA,22,647,12.3,.491,.410,.280,2.8,9.0,6.1,24.1,1.2,0.5,12.9,23.6,,0.1,0.6,0.8,.059,,-0.7,-1.0,-1.7,0.0,/players/c/conlemi01.html,/teams/UTA/2020.html
107,101,Pat Connaughton,SG,27,MIL,32,558,12.1,.537,.515,.169,3.6,18.9,11.6,14.0,0.9,2.5,13.1,12.4,,0.6,1.0,1.6,.135,,-1.4,2.2,0.8,0.4,/players/c/connapa01.html,/teams/MIL/2020.html
